,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace
445,1968-416,Rome Masters,Clay,128,M,19680506,103,100084,4.0,,Tom Okker,R,178.0,NED,24.2026009582,100040,3.0,,Bob Hewitt,R,190.0,RSA,28.3148528405,10-8 6-8 6-1 1-6 6-0,5,F,,,,,,,,,,,,,,,,,,,,,,,,1968,1960s,
456,1968-422,Cincinnati Masters,Clay,16,M,19680707,11,109977,,,William Harris,R,,USA,21.4784394251,100127,,,Tom Gorman,R,180.0,USA,21.5496235455,3-6 6-2 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,1968,1960s,
2054,1969-416,Rome Masters,Clay,128,M,19690521,80,100087,2.0,,John Newcombe,R,183.0,AUS,24.9938398357,100100,1.0,,Tony Roche,L,178.0,AUS,24.0109514031,6-3 4-6 6-2 5-7 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1969,1960s,
2250,1969-421,Canada Masters,Clay,64,M,19690809,47,100128,2.0,,Cliff Richey,R,175.0,USA,22.6064339493,100048,3.0,,Earl Butch Buchholz,R,188.0,USA,28.8952772074,6-4 5-7 6-4 6-0,5,F,,,,,,,,,,,,,,,,,,,,,,,,1969,1960s,
2345,1969-422,Cincinnati Masters,Clay,96,M,19690714,300,100128,3.0,,Cliff Richey,R,175.0,USA,22.5352498289,100105,,,Allan Stone,R,,AUS,23.7481177276,6-1 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,1969,1960s,
4407,1970-416,Rome Masters,Clay,32,M,19700516,31,100119,2.0,,Ilie Nastase,R,183.0,ROU,23.8247775496,100113,4.0,,Jan Kodes,R,175.0,CZE,24.2080766598,6-3 1-6 6-3 8-6,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
4583,1970-421,Canada Masters,Clay,32,M,19700812,19,100029,,,Rod Laver,L,173.0,AUS,32.0082135524,100058,,,Roger Taylor,L,,GBR,28.8268309377,6-0 4-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
4646,1970-422,Cincinnati Masters,Clay,64,M,19700720,63,100016,1.0,,Ken Rosewall,R,175.0,AUS,35.7125256674,100128,2.0,,Cliff Richey,R,175.0,USA,23.5509924709,7-9 9-7 8-6,3,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
5357,1970-605,Masters,Carpet,6,M,19701209,5,100126,,,Stan Smith,R,193.0,USA,23.9863107461,100029,,,Rod Laver,L,173.0,AUS,32.334017796,4-6 6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
7455,1971-416,Rome Masters,Clay,64,M,19710503,47,100029,4.0,,Rod Laver,L,173.0,AUS,32.7310061602,100113,,,Jan Kodes,R,175.0,CZE,25.1718001369,7-5 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,
